Question,Model,BERT Precision,BERT Recall,BERT F1,Rouge Precision,Rouge Recall,Rouge F1
What is Project Gigabit?,gpt-4o-2024-08-06,0.9010617733001709,0.7985973358154297,0.8467410206794739,0.569620253164557,0.10975609756097561,0.18404907975460122
What is Project Gigabit?,chatgpt-4o-latest,0.8785492181777954,0.8004945516586304,0.8377075791358948,0.37623762376237624,0.09268292682926829,0.1487279843444227
What is Project Gigabit?,gpt-3.5-turbo-0125,0.921777606010437,0.7717536687850952,0.8401206135749817,1.0,0.046341463414634146,0.08857808857808858
What is Project Gigabit?,anthropic.claude-3-sonnet-20240229-v1:0,0.8740260601043701,0.8100019097328186,0.840796947479248,0.4036144578313253,0.16341463414634147,0.23263888888888887
What is Project Gigabit?,anthropic.claude-3-haiku-20240307-v1:0,0.8862206339836121,0.8126118183135986,0.8478214740753174,0.5608108108108109,0.20243902439024392,0.2974910394265233
What is Project Gigabit?,meta.llama3-70b-instruct-v1:0,0.9208233952522278,0.7710345387458801,0.8392981886863708,0.95,0.046341463414634146,0.08837209302325581
What is Project Gigabit?,meta.llama3-8b-instruct-v1:0,0.9112904071807861,0.7793602347373962,0.8401776552200317,0.8260869565217391,0.046341463414634146,0.08775981524249422
What is Project Gigabit?,mistral.mistral-large-2402-v1:0,0.9023615717887878,0.8042187690734863,0.850468099117279,0.8,0.23414634146341465,0.36226415094339626
What is Project Gigabit?,mistral.mistral-7b-instruct-v0:2,0.9080401659011841,0.8042402863502502,0.8529939651489258,0.7685185185185185,0.20243902439024392,0.32046332046332043
What is Project Gigabit?,mistral.mixtral-8x7b-instruct-v0:1,0.9185829162597656,0.8120281100273132,0.8620252013206482,0.8571428571428571,0.2048780487804878,0.3307086614173228
What is Project Gigabit?,gemini-2.0-flash-lite-preview-02-05,0.921320915222168,0.7739875912666321,0.8412521481513977,1.0,0.046341463414634146,0.08857808857808858
What is Project Gigabit?,gemini-1.5-flash,0.9051162004470825,0.8082360029220581,0.8539370894432068,0.8088235294117647,0.13414634146341464,0.2301255230125523
What is Project Gigabit?,gemini-1.5-flash-8b,0.921320915222168,0.7739875912666321,0.8412521481513977,1.0,0.046341463414634146,0.08857808857808858
What is Project Gigabit?,gemini-1.5-pro,0.9154065251350403,0.7872232794761658,0.8464897274971008,0.8787878787878788,0.07073170731707316,0.1309255079006772
What is Project Gigabit?,grok-2-vision-1212,0.871220588684082,0.825532078742981,0.8477611541748047,0.3333333333333333,0.1878048780487805,0.24024960998439934
What is Project Gigabit?,grok-2-1212,0.8930478096008301,0.81374192237854,0.8515523672103882,0.4420289855072464,0.14878048780487804,0.22262773722627735
Summarise the Superfast Broadband Programme,gpt-4o-2024-08-06,0.8743721842765808,0.8076837658882141,0.8397060036659241,0.5290322580645161,0.14882032667876588,0.2322946175637394
Summarise the Superfast Broadband Programme,chatgpt-4o-latest,0.8802850246429443,0.8215314149856567,0.8498939871788025,0.5370370370370371,0.15789473684210525,0.24403927068723705
Summarise the Superfast Broadband Programme,gpt-3.5-turbo-0125,0.8890957832336426,0.7906125783920288,0.8369671106338501,0.8764044943820225,0.14156079854809436,0.24375
Summarise the Superfast Broadband Programme,anthropic.claude-3-sonnet-20240229-v1:0,0.8782649040222168,0.8300706148147583,0.8534879684448242,0.5028248587570622,0.16152450090744103,0.24450549450549453
Summarise the Superfast Broadband Programme,anthropic.claude-3-haiku-20240307-v1:0,0.8811690807342529,0.8215620517730713,0.8503222465515137,0.5956284153005464,0.19782214156079855,0.2970027247956403
Summarise the Superfast Broadband Programme,meta.llama3-70b-instruct-v1:0,0.8940733671188354,0.801773190498352,0.845411479473114,0.6470588235294118,0.1397459165154265,0.2298507462686567
Summarise the Superfast Broadband Programme,meta.llama3-8b-instruct-v1:0,0.7781806588172913,0.7243850827217102,0.7503198385238647,0.0,0.0,0.0
